customer_id,first_name,last_name,email,phone,signup_date,country,city,segment
1,Sam,Davis,sdavis4330@company.com,+20-184-573-9779,2024-11-05,Italy,Naples,VIP
2,Adam,Taylor,ataylor4503@yahoo.com,+37-802-678-4621,2025-02-16,France,Toulouse,B2C
3,Ava,Martinez,amartinez8878@gmail.com,+28-667-248-7822,2024-09-24,USA,Chicago,Occasional
4,Liam,El Amrani,lel amrani7783@company.com,+20-547-139-5918,2022-12-15,Netherlands,Eindhoven,B2B
5,Olivia,Miller,omiller4108@outlook.com,+8-522-815-2705,2023-12-16,Morocco,Fes,B2C
6,Maria,Mahboub,mmahboub6697@company.com,+43-666-729-1874,2023-06-21,UK,Birmingham,Loyal
7,Noah,Moore,nmoore8980@outlook.com,+63-225-848-2798,2025-01-26,Netherlands,Rotterdam,VIP
8,Alex,Davis,adavis7051@outlook.com,+77-554-611-1335,2022-11-28,Italy,Naples,B2C
9,Noah,Lopez,nlopez8550@yahoo.com,+57-670-608-5981,2022-09-30,Italy,Naples,B2C
10,Mia,Clark,mclark4367@company.com,+22-992-867-1312,2023-03-19,USA,Austin,B2C
11,Ethan,Anderson,eanderson4343@yahoo.com,+50-804-995-6978,2023-10-14,UAE,Dubai,Loyal
12,Noah,Mahboub,nmahboub228@gmail.com,+9-726-515-7452,2022-12-23,France,Lyon,B2C
13,Olivia,Garcia,ogarcia4956@outlook.com,+24-371-714-6671,2024-06-05,Germany,Cologne,B2C
14,Liam,Mahboub,lmahboub9618@outlook.com,+90-511-339-7877,2025-08-09,France,Lyon,VIP
15,Hassan,Miller,hmiller7368@outlook.com,,2023-11-28,Canada,Montreal,B2C
16,Olivia,Miller,omiller3059@company.com,+57-516-870-1175,2024-12-02,UK,Leeds,B2B
17,Omar,El Amrani,oel amrani1402@yahoo.com,+62-175-780-4741,2025-01-04,Morocco,Tangier,B2C
18,Alex,Garcia,agarcia1445@yahoo.com,+11-813-253-3699,2025-06-18,Morocco,Tangier,B2C
19,Noah,Mahboub,nmahboub2947@gmail.com,+41-533-519-8043,2022-08-31,Italy,Naples,B2C
20,Sam,Lopez,slopez9377@gmail.com,+57-826-340-9583,2023-07-13,Germany,Hamburg,B2C
21,Zara,El Amrani,zel amrani3637@company.com,+54-226-371-5985,2023-06-25,UK,London,B2B
22,Maria,Brown,mbrown6593@yahoo.com,+72-388-196-6531,2025-08-16,UK,Manchester,B2C
23,Amal,Brown,abrown3709@outlook.com,+82-965-385-2824,2025-07-21,Spain,Valencia,B2C
24,Sofia,Taylor,staylor9912@company.com,+53-140-368-4915,2025-08-09,UAE,Dubai,Loyal
25,Ibrahim,Johnson,ijohnson8907@gmail.com,+88-522-384-1199,2024-12-18,Canada,Ottawa,B2B
26,Noah,Bennani,nbennani7365@yahoo.com,+1-942-952-3168,2022-07-22,Netherlands,Amsterdam,Loyal
27,Maria,Jackson,mjackson1793@outlook.com,+59-140-276-3524,2023-06-18,France,Bordeaux,VIP
28,Emma,Thompson,ethompson4337@gmail.com,,2023-01-08,Germany,Hamburg,B2C
29,Amal,Smith,asmith1219@outlook.com,+50-788-622-4752,2023-02-07,Italy,Florence,Loyal
30,Alex,Miller,amiller8258@gmail.com,+56-933-172-4577,2025-08-14,USA,Miami,B2C
31,Emma,Taylor,etaylor9555@yahoo.com,+29-548-122-6371,2024-04-04,Italy,Milan,B2C
32,Zara,Brown,zbrown7487@outlook.com,+17-635-263-9396,2024-11-08,Canada,Toronto,B2C
33,Zara,Clark,zclark179@yahoo.com,+11-325-816-5166,2023-03-18,Canada,Ottawa,B2C
34,Adam,Clark,aclark7533@yahoo.com,+12-436-932-4832,2022-10-28,UAE,Sharjah,Loyal
35,Omar,Anderson,oanderson2478@outlook.com,+24-855-834-9631,2022-10-18,Germany,Hamburg,B2C
36,Ava,Wilson,awilson1923@company.com,+91-229-922-9287,2024-05-26,Morocco,Casablanca,B2C
37,Youssef,Wilson,ywilson1155@yahoo.com,,2022-07-10,France,Marseille,B2C
38,Zara,Johnson,zjohnson5159@yahoo.com,+82-385-984-5540,2024-11-05,Germany,Hamburg,Loyal
39,Ethan,Taylor,etaylor1815@company.com,+24-677-613-9538,2023-10-22,USA,Austin,B2C
40,Alex,Bennani,abennani8934@gmail.com,+11-146-463-9322,2024-09-10,UAE,Abu Dhabi,Loyal
41,Sam,Moore,smoore9794@outlook.com,+79-664-677-6545,2024-12-26,UAE,Dubai,B2C
42,Zara,Taylor,ztaylor9668@company.com,+77-446-716-6755,2023-04-07,Morocco,Marrakesh,B2C
43,Hassan,El Amrani,hel amrani4169@yahoo.com,+23-554-429-7631,2023-07-09,Germany,Berlin,B2C
44,Youssef,Lopez,ylopez7926@company.com,+84-532-792-3954,2024-03-12,UK,Manchester,Loyal
45,Ava,Lopez,alopez5530@yahoo.com,+8-359-258-7613,2022-07-26,UK,Liverpool,B2B
46,Amal,Taylor,ataylor1321@company.com,,2024-06-13,Netherlands,The Hague,B2B
47,Mia,Johnson,mjohnson7233@gmail.com,+17-819-465-6342,2023-11-25,Spain,Bilbao,VIP
48,Adam,Martin,amartin2534@yahoo.com,,2024-05-16,UAE,Dubai,B2C
49,Youssef,Garcia,ygarcia79@yahoo.com,+67-569-754-7874,2025-06-12,France,Marseille,B2C
50,Adam,Martinez,amartinez9311@company.com,+12-748-178-5393,2024-08-04,Spain,Madrid,B2C
51,Olivia,Davis,odavis7304@outlook.com,+81-785-670-3434,2025-01-14,UK,Leeds,B2C
